Filename	Time	CH D - V	CH D - I(μA)	CH D - R(Ω)
C:\Users\cbio_prototype\Desktop\220507\900\0001_133015324809000187.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0002_133015324809184803.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0003_133015324809497518.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0004_133015324809653707.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0005_133015324809810124.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0006_133015324810122606.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0007_133015324810278887.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0008_133015324810591492.tif	2022-07-05 15:08:00.806	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0008_133015324810591492.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0009_133015324810747799.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0010_133015324810904179.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0011_133015324811216824.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0012_133015324811373092.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0013_133015324811685568.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0014_133015324811841911.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0015_133015324811998169.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
C:\Users\cbio_prototype\Desktop\220507\900\0016_133015324812310994.tif	2022-07-05 15:08:01.059	0.000	0.000	0.000
